"";"X";"Style";"OG";"FG";"IBU";"ABV";"Color"
"1599";"Goat.Humper";2;1,068;1,017;69;6,7;7
"1600";"Tavern.Wench.Belgian.RyePA";2;1,066;1,012;56;7,1;9
"1601";"RY.P.A.";2;1,07;1,017;59;7;10
"1602";"Pilsner.2";3;1,049;1,013;43;4,8;2
"1603";"Untitled.German.Pilsner..Pils..157065";3;1,047;1,011;41;4,8;4
"1604";"Summer.Fruit.Barrel.Pale.Ale";2;1,065;1,015;55;6,5;8
"1605";"Adlholz.Amber.Ale";2;1,067;1,017;45;6,6;14
"1606";"TPBC.Red.Ale";2;1,064;1,017;47;6,1;13
"1607";"X.076..Das.Frische.Bier.Select";3;1,05;1,01;35;5,2;3
"1608";"how.to.clean.out.the.hop.fridge";2;1,062;1,015;66;6,2;11
"1609";"J.s.IPA";2;1,059;1,016;64;5,6;12
"1610";"Sinistral.Warrior.IPA";2;1,073;1,016;67;7,5;11
"1611";"Dark.Horse.IPA";2;1,059;1,016;60;5,7;12
"1612";"Quotidian.IPA..3";2;1,065;1,016;49;6,4;14
"1613";"Pride.of.Ringwood.IPA";2;1,069;1,017;48;6,7;10
"1614";"In.Like.a.Lion.IPA";2;1,072;1,015;61;7,5;7
"1615";"South.Pacific.Pale";2;1,062;1,016;45;6;8
"1616";"X100.Stacks.IPA";2;1,067;1,017;50;6,6;7
"1617";"Blackberry.Wheat.Beer";1;1,05;1,013;14;4,8;4
"1618";"X.060..Winter.Weizen";1;1,051;1,013;13;4,9;3
"1619";"Mosaic.IPA.3";2;1,068;1,017;59;6,7;8
"1620";"AprIPA.AG.Take.2";2;1,057;1,015;66;5,5;6
"1621";"IPA.feb2012";2;1,056;1,014;64;5,5;7
"1622";"Divine.Ellie";2;1,073;1,017;43;7,3;7
"1623";"Zombie.Plan";2;1,062;1,014;50;6,3;8
"1624";"Boss.Washington";1;1,05;1,013;10;5;3
"1625";"Cweet...Cimple.IPA";2;1,071;1,016;64;7,2;13
"1626";"CatastroIPA";2;1,066;1,017;57;6,5;12
"1627";"Torpedo.IPA.Clone";2;1,068;1,016;54;6,8;8
"1628";"X55.Red.IPA";2;1,061;1,015;55;6,1;14
"1629";"American.IPA.01";2;1,068;1,016;56;6,8;7
"1630";"Grapefruit.Hefe";1;1,046;1,014;14;4,2;3
"1631";"Bombay.IPA";2;1,062;1,016;53;6,1;7
"1632";"Duke.Henry.Irish.Red";4;1,05;1,014;25;4,7;11
"1633";"Rosemary.IPA..Pilsener.Malt";2;1,071;1,018;46;7;6
"1634";"Walker.Sweat";2;1,071;1,014;44;7,4;7
"1635";"Harvest.Ale";2;1,065;1,016;49;6,4;7
"1636";"IPA.test..Mt.Hood";2;1,064;1,014;42;6,6;9
"1637";"bookmaker";2;1,063;1,013;43;6,6;8
"1638";"RIPA";2;1,063;1,015;68;6,4;9
"1639";"X1335.IPA";2;1,061;1,015;63;6;6
"1640";"AHS.Budget.IPA...Mini.Mash";2;1,059;1,015;61;5,8;8
"1641";"Ich.bin.Amerikan.IPA";2;1,057;1,014;61;5,6;8
"1642";"basic.hef";1;1,045;1,011;11;4,5;3
"1643";"Dizzy.Desert";2;1,075;1,018;64;7,5;10
"1644";"Dan.Dyer.s.Sloppy.Doppelganger";2;1,062;1,015;65;6,2;7
"1645";"Flying.V";2;1,062;1,011;62;6,7;8
"1646";"Bday.Bonfire.Beer";2;1,057;1,015;61;5,5;10
"1647";"Erin.go.braugh";4;1,053;1,012;23;5,4;14
"1648";"Oaked.IPA.II";2;1,058;1,012;69;6;11
"1649";"Mosaic.American.IPA";2;1,066;1,016;62;6,7;12
"1650";"Horizon.IPA.2";2;1,062;1,017;66;5,9;7
